"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Sep-2024","EQ","524.85","529.90","518.45","524.85","521.50","520.60","522.96","579.90","375.05","72,89,977","3,81,23,59,008.05","87,136"
"05-Sep-2024","EQ","521.20","526.00","519.50","519.15","525.15","524.85","523.09","579.90","375.05","60,34,559","3,15,66,41,272.10","69,496"
"04-Sep-2024","EQ","528.00","528.25","516.75","536.05","519.65","519.15","520.25","579.90","375.05","1,02,01,064","5,30,71,53,537.65","1,20,722"
"03-Sep-2024","EQ","533.00","540.85","529.50","532.45","535.00","536.05","536.58","579.90","375.05","75,28,343","4,03,95,58,285.90","1,07,595"
"02-Sep-2024","EQ","538.40","542.00","531.85","538.40","532.50","532.45","534.85","579.90","375.05","78,67,991","4,20,81,86,458.05","89,740"
"30-Aug-2024","EQ","541.70","542.00","535.70","538.70","539.05","538.40","538.50","579.90","375.05","97,17,402","5,23,27,95,744.60","95,523"
"29-Aug-2024","EQ","535.00","541.95","534.05","534.60","538.80","538.70","537.86","579.90","375.05","1,28,42,659","6,90,75,57,608.30","1,91,366"
"28-Aug-2024","EQ","520.00","538.10","517.85","517.15","536.35","534.60","532.56","579.90","375.05","1,71,87,783","9,15,35,17,554.10","2,02,576"
"27-Aug-2024","EQ","520.00","523.25","516.00","520.00","517.20","517.15","518.47","579.90","375.05","39,82,898","2,06,50,04,421.70","58,350"
"26-Aug-2024","EQ","516.00","524.80","515.95","512.40","520.50","520.00","521.85","579.90","375.05","86,75,690","4,52,74,22,401.05","1,08,967"
"23-Aug-2024","EQ","519.90","521.45","511.35","519.00","513.00","512.40","514.17","579.90","375.05","56,38,853","2,89,93,31,237.65","71,998"
"22-Aug-2024","EQ","527.80","530.55","518.05","526.35","519.15","519.00","523.97","579.90","375.05","57,48,253","3,01,19,12,487.00","85,781"
"21-Aug-2024","EQ","523.40","528.10","521.05","524.65","528.00","526.35","524.66","579.90","375.05","32,27,201","1,69,31,90,755.55","62,328"
"20-Aug-2024","EQ","519.90","527.60","519.65","519.75","524.50","524.65","524.52","579.90","375.05","47,71,906","2,50,29,51,305.75","72,550"
"19-Aug-2024","EQ","516.00","523.20","513.70","516.25","520.00","519.75","519.73","579.90","375.05","57,33,281","2,97,97,56,757.55","79,050"
"16-Aug-2024","EQ","501.00","517.45","497.95","495.15","516.10","516.25","510.99","579.90","375.05","1,29,65,570","6,62,52,67,335.55","1,47,094"
"14-Aug-2024","EQ","493.00","496.85","490.45","490.50","495.70","495.15","493.14","579.90","375.05","55,60,878","2,74,23,02,149.55","81,615"
